PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS_per_min,AST_per_min,STL_per_min,BLK_per_min,TREB_per_min,TOV_per_min,FG_PCT,PLUS_MINUS_per_min,CLUTCH_SCORE,PLAYER_ID
Aaron Gordon,DEN,4.4,0.4772727272727272,0.1136363636363636,0.0227272727272727,0.0,0.1590909090909091,0.0,0.526,0.4772727272727272,0.2804409090909091,203932
Aaron Nesmith,IND,3.8,0.4210526315789474,0.0263157894736842,0.0263157894736842,0.0,0.1578947368421052,0.0,0.385,0.2894736842105263,0.2220526315789474,1630174
Alec Burks,MIA,3.8,0.4210526315789474,0.0,0.0,0.0,0.2105263157894736,0.0526315789473684,0.667,-0.3684210526315789,0.1851210526315789,202692
Alperen Sengun,HOU,3.0,0.7666666666666666,0.1333333333333333,0.0333333333333333,0.0333333333333333,0.3,0.0666666666666666,0.456,0.6333333333333333,0.3989333333333333,1630578
Andrew Nembhard,IND,4.3,0.3488372093023256,0.0930232558139535,0.0,0.0,0.1627906976744186,0.0697674418604651,0.375,0.3255813953488372,0.2049418604651163,1629614
Andrew Wiggins,MIA,3.0,0.5,0.0666666666666666,0.0,0.0333333333333333,0.1333333333333333,0.0666666666666666,0.395,-0.0333333333333333,0.212,203952
Anfernee Simons,POR,3.2,1.0,0.125,0.0,0.0,0.0625,0.0625,0.451,-0.125,0.35135,1629014
Anthony Black,ORL,3.6,0.2777777777777778,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.1666666666666666,0.0277777777777777,0.385,-0.0277777777777777,0.1496111111111111,1641710
Anthony Davis,DAL,3.0,0.6666666666666666,0.0999999999999999,0.0,0.0666666666666666,0.2333333333333333,0.0666666666666666,0.538,-0.1333333333333333,0.2871333333333333,203076
Anthony Edwards,MIN,3.8,0.973684210526316,0.0789473684210526,0.0263157894736842,0.0263157894736842,0.2894736842105263,0.1052631578947368,0.426,-0.3157894736842105,0.3531263157894737,1630162
Bam Adebayo,MIA,4.7,0.4680851063829787,0.0851063829787234,0.0638297872340425,0.0212765957446808,0.2340425531914893,0.0425531914893617,0.52,-0.3191489361702127,0.2083829787234042,1628389
Ben Simmons,LAC,3.2,0.15625,0.15625,0.03125,0.03125,0.28125,0.0,0.667,0.5937499999999999,0.23545,1627732
Bennedict Mathurin,IND,3.4,0.7941176470588236,0.0294117647058823,0.0294117647058823,0.0,0.1764705882352941,0.088235294117647,0.568,0.5882352941176471,0.3810647058823529,1631097
Bobby Portis,MIL,3.2,0.28125,0.0,0.0625,0.03125,0.2187499999999999,0.0,0.313,-0.125,0.1430187499999999,1626171
Bradley Beal,PHX,3.9,0.4358974358974359,0.0512820512820512,0.0256410256410256,0.0,0.2051282051282051,0.0256410256410256,0.333,-0.3333333333333333,0.167274358974359,203078
Brandon Ingram,TOR,4.0,0.6,0.15,0.0,0.0,0.125,0.1,0.5,0.325,0.29125,1627742
Brandon Miller,CHA,4.6,0.6304347826086957,0.0652173913043478,0.0652173913043478,0.0217391304347826,0.2391304347826087,0.0869565217391304,0.429,-0.108695652173913,0.2657260869565217,1641706
Brice Sensabaugh,UTA,3.5,0.3428571428571428,0.0857142857142857,0.0285714285714285,0.0,0.1142857142857143,0.0571428571428571,0.353,-0.6857142857142857,0.0945857142857142,1641729
Brook Lopez,MIL,3.4,0.4411764705882353,0.0294117647058823,0.0294117647058823,0.0588235294117647,0.1764705882352941,0.0294117647058823,0.5,0.1176470588235294,0.2286764705882353,201572
Bub Carrington,WAS,3.2,0.34375,0.1874999999999999,0.03125,0.03125,0.03125,0.0625,0.389,-0.1874999999999999,0.148275,1642267
CJ McCollum,NOP,4.1,0.7560975609756099,0.073170731707317,0.0,0.024390243902439,0.1463414634146341,0.024390243902439,0.446,0.2682926829268293,0.3281365853658538,203468
Caleb Martin,DAL,4.4,0.159090909090909,0.0454545454545454,0.0227272727272727,0.0227272727272727,0.1818181818181818,0.0227272727272727,0.3,-0.159090909090909,0.0959090909090909,1628997
Cam Thomas,BKN,3.8,0.631578947368421,0.0263157894736842,0.0263157894736842,0.0,0.1052631578947368,0.0789473684210526,0.364,-0.7105263157894738,0.1712684210526315,1630560
Cameron Johnson,BKN,3.4,0.6470588235294118,0.0294117647058823,0.0294117647058823,0.0294117647058823,0.1176470588235294,0.0588235294117647,0.5,-0.3529411764705882,0.2308823529411764,1629661
Caris LeVert,ATL,3.1,0.3870967741935484,0.064516129032258,0.0,0.0,0.1612903225806451,0.032258064516129,0.643,0.9032258064516128,0.2997838709677419,1627747
Chris Paul,SAS,3.1,0.5483870967741935,0.2258064516129032,0.064516129032258,0.032258064516129,0.2258064516129032,0.064516129032258,0.469,-0.0967741935483871,0.2622225806451612,101108
Christian Braun,DEN,3.8,0.2894736842105263,0.0789473684210526,0.0526315789473684,0.0263157894736842,0.131578947368421,0.0263157894736842,0.462,0.3947368421052631,0.2047526315789474,1631128
Coby White,CHI,3.4,0.7058823529411765,0.088235294117647,0.0294117647058823,0.0,0.1176470588235294,0.0588235294117647,0.509,0.3235294117647059,0.3207529411764706,1629632
Collin Sexton,UTA,4.0,0.6,0.075,0.0,0.0,0.15,0.075,0.5,-0.425,0.2137499999999999,1629012
Damian Lillard,MIL,3.6,0.6111111111111112,0.1666666666666666,0.0277777777777777,0.0,0.1944444444444444,0.0833333333333333,0.321,0.3055555555555556,0.2897388888888889,203081
Darius Garland,CLE,3.3,0.9090909090909092,0.1818181818181818,0.0606060606060606,0.0303030303030303,0.0606060606060606,0.0303030303030303,0.534,0.7575757575757576,0.434460606060606,1629636
Davion Mitchell,MIA,3.9,0.2820512820512821,0.0512820512820512,0.0256410256410256,0.0256410256410256,0.0512820512820512,0.0256410256410256,0.478,-0.4615384615384615,0.1016461538461538,1630558
De'Aaron Fox,SAS,3.6,0.8611111111111112,0.1388888888888889,0.0555555555555555,0.0,0.1111111111111111,0.0833333333333333,0.465,0.1388888888888889,0.3492777777777778,1628368
De'Andre Hunter,CLE,4.2,0.5714285714285714,0.0238095238095238,0.0238095238095238,0.0238095238095238,0.1666666666666666,0.0,0.477,0.3095238095238095,0.2810333333333333,1629631
DeMar DeRozan,SAC,4.1,0.878048780487805,0.073170731707317,0.024390243902439,0.0,0.1219512195121951,0.024390243902439,0.441,0.1707317073170731,0.3508073170731708,201942
Deandre Ayton,POR,3.5,0.4285714285714285,0.0571428571428571,0.0285714285714285,0.0571428571428571,0.4285714285714285,0.0285714285714285,0.5,0.2571428571428572,0.2792857142857142,1629028
Dejounte Murray,NOP,4.3,0.6279069767441862,0.1162790697674418,0.0697674418604651,0.0232558139534883,0.2325581395348837,0.0232558139534883,0.414,0.1162790697674418,0.2937255813953489,1627749
Deni Avdija,POR,3.2,0.5625,0.0937499999999999,0.03125,0.03125,0.2499999999999999,0.0625,0.429,-0.25,0.2350874999999999,1630166
Dereck Lively II,DAL,3.0,0.1999999999999999,0.0333333333333333,0.0666666666666666,0.1666666666666666,0.1999999999999999,0.0,0.667,0.6,0.2375333333333333,1641726
Derrick Jones Jr.,LAC,3.0,0.3999999999999999,0.0333333333333333,0.0333333333333333,0.0,0.0999999999999999,0.0,0.688,-0.4333333333333333,0.1662999999999999,1627884
Derrick White,BOS,4.1,0.5121951219512195,0.1219512195121951,0.0,0.024390243902439,0.1219512195121951,0.048780487804878,0.567,0.4634146341463415,0.2865780487804878,1628401
Desmond Bane,ORL,3.5,0.5428571428571428,0.1142857142857143,0.0285714285714285,0.0285714285714285,0.1714285714285714,0.0857142857142857,0.404,0.1714285714285714,0.2575428571428571,1630217
Devin Booker,PHX,3.0,0.6333333333333333,0.1666666666666666,0.0666666666666666,0.0,0.1666666666666666,0.0333333333333333,0.333,0.0999999999999999,0.2783,1626164
Devin Vassell,SAS,3.8,0.3947368421052631,0.0789473684210526,0.0263157894736842,0.0,0.131578947368421,0.0526315789473684,0.381,-0.3684210526315789,0.1466526315789473,1630170
Dillon Brooks,HOU,3.4,0.2941176470588235,0.0294117647058823,0.0294117647058823,0.0294117647058823,0.1470588235294117,0.0294117647058823,0.314,0.2058823529411764,0.168164705882353,1628415
Domantas Sabonis,SAC,3.9,0.4615384615384615,0.0769230769230769,0.0,0.0256410256410256,0.3846153846153846,0.0512820512820512,0.793,0.2820512820512821,0.3107102564102564,1627734
Dorian Finney-Smith,LAL,3.5,0.1714285714285714,0.0571428571428571,0.0285714285714285,0.0285714285714285,0.1428571428571428,0.0285714285714285,0.25,0.0571428571428571,0.1121428571428571,1627827
Draymond Green,GSW,3.0,0.2333333333333333,0.1999999999999999,0.0333333333333333,0.0333333333333333,0.3333333333333333,0.0999999999999999,0.267,0.2333333333333333,0.1900333333333333,203110
Dyson Daniels,ATL,3.8,0.3684210526315789,0.0789473684210526,0.0789473684210526,0.0263157894736842,0.1578947368421052,0.0526315789473684,0.5,0.131578947368421,0.2105263157894736,1630700
Eric Gordon,PHI,4.5,0.3333333333333333,0.0222222222222222,0.0222222222222222,0.0666666666666666,0.0,0.0,0.5,-0.4,0.1188888888888888,201569
Evan Mobley,CLE,3.0,0.3666666666666667,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.3,0.0333333333333333,0.667,0.8333333333333334,0.3117,1630596
Franz Wagner,ORL,3.2,0.65625,0.0937499999999999,0.03125,0.0,0.15625,0.0937499999999999,0.357,-0.15625,0.2474187499999999,1630532
Fred VanVleet,HOU,3.7,0.4324324324324324,0.1081081081081081,0.027027027027027,0.027027027027027,0.1081081081081081,0.027027027027027,0.271,0.1891891891891891,0.2054783783783784,1627832
Gary Trent Jr.,MIL,3.1,0.3870967741935484,0.0,0.032258064516129,0.0,0.0967741935483871,0.032258064516129,0.345,0.3225806451612903,0.1982096774193548,1629018
Giannis Antetokounmpo,MIL,4.0,0.725,0.2,0.0,0.05,0.45,0.05,0.467,0.55,0.40795,203507
Gradey Dick,TOR,4.2,0.2142857142857142,0.0476190476190476,0.0238095238095238,0.0,0.0952380952380952,0.0476190476190476,0.3,-0.4285714285714285,0.0698809523809523,1641711
Grant Williams,CHA,5.2,0.3653846153846153,0.0769230769230769,0.0192307692307692,0.0576923076923076,0.173076923076923,0.0192307692307692,0.25,0.0769230769230769,0.1807692307692307,1629684
Guerschon Yabusele,PHI,3.7,0.2702702702702702,0.054054054054054,0.054054054054054,0.0,0.1891891891891891,0.027027027027027,0.286,-0.3243243243243243,0.1137351351351351,1627824
Haywood Highsmith,MIA,3.2,0.2187499999999999,0.03125,0.0625,0.03125,0.09375,0.0,0.5,-0.53125,0.0867187499999999,1629312
Herbert Jones,NOP,4.3,0.3023255813953489,0.1395348837209302,0.0232558139534883,0.0697674418604651,0.2325581395348837,0.0232558139534883,1.0,-0.2093023255813953,0.2244186046511628,1630529
Immanuel Quickley,TOR,3.8,0.5526315789473685,0.0789473684210526,0.0526315789473684,0.0,0.0263157894736842,0.0,0.333,-0.3684210526315789,0.1780368421052632,1630193
Isaiah Collier,UTA,3.1,0.2903225806451613,0.1290322580645161,0.0,0.0,0.0967741935483871,0.0967741935483871,0.429,-1.032258064516129,0.0493516129032258,1642268
Isaiah Hartenstein,OKC,3.0,0.4333333333333333,0.1333333333333333,0.0333333333333333,0.0666666666666666,0.3,0.0333333333333333,0.625,0.7999999999999999,0.3366666666666666,1628392
Ivica Zubac,LAC,3.4,0.4117647058823529,0.0294117647058823,0.0,0.1176470588235294,0.3529411764705882,0.0294117647058823,0.571,0.0,0.2438647058823529,1627826
Ja Morant,MEM,3.8,0.8947368421052632,0.1842105263157894,0.0263157894736842,0.0,0.0789473684210526,0.0789473684210526,0.463,0.2631578947368421,0.3693263157894736,1629630
Jaden Ivey,DET,4.0,0.675,0.125,0.0,0.025,0.15,0.075,0.478,-0.375,0.2459249999999999,1631093
Jaden McDaniels,MIN,3.6,0.3055555555555556,0.0555555555555555,0.0,0.0,0.1666666666666666,0.0277777777777777,0.404,-0.3055555555555556,0.1306777777777777,1630183
Jakob Poeltl,TOR,3.1,0.2258064516129032,0.032258064516129,0.0,0.032258064516129,0.3225806451612903,0.064516129032258,0.375,-0.1290322580645161,0.1431451612903226,1627751
Jalen Brunson,NYK,4.8,1.1666666666666667,0.2083333333333333,0.0208333333333333,0.0,0.0833333333333333,0.0625,0.515,0.1666666666666666,0.4499375,1628973
Jalen Green,HOU,3.0,0.7000000000000001,0.0999999999999999,0.0333333333333333,0.0,0.1333333333333333,0.0999999999999999,0.371,0.3333333333333333,0.3079333333333333,1630224
Jalen Johnson,ATL,4.4,0.3863636363636363,0.0454545454545454,0.0454545454545454,0.0227272727272727,0.25,0.0681818181818181,0.5,0.3181818181818181,0.2414772727272727,1630552
Jamal Murray,DEN,3.5,0.7428571428571429,0.2285714285714286,0.0571428571428571,0.0285714285714285,0.1428571428571428,0.0285714285714285,0.548,0.6,0.3869428571428572,1627750
James Harden,LAC,3.9,0.717948717948718,0.1794871794871795,0.0256410256410256,0.0256410256410256,0.1282051282051282,0.1794871794871795,0.377,0.0,0.2851358974358974,201935
Jared McCain,PHI,3.4,0.3823529411764706,0.0,0.0,0.0,0.1764705882352941,0.088235294117647,0.375,-0.4705882352941177,0.1272058823529412,1642272
Javonte Green,CLE,3.0,0.2333333333333333,0.0333333333333333,0.0999999999999999,0.0,0.2333333333333333,0.0333333333333333,0.429,0.3333333333333333,0.1903999999999999,1629750
Jaylen Brown,BOS,3.9,0.6923076923076924,0.0769230769230769,0.0512820512820512,0.0256410256410256,0.1538461538461538,0.0769230769230769,0.511,0.5641025641025642,0.3478948717948719,1627759
Jayson Tatum,BOS,4.3,0.6976744186046512,0.186046511627907,0.0232558139534883,0.0232558139534883,0.2093023255813953,0.0697674418604651,0.427,0.3023255813953489,0.3322348837209302,1628369
Jeremy Sochan,SAS,3.6,0.25,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.1666666666666666,0.0,0.538,-0.5,0.1107444444444444,1631110
Jimmy Butler III,GSW,4.0,0.65,0.1,0.025,0.025,0.3,0.05,0.415,0.25,0.31775,202710
John Collins,UTA,4.2,0.3809523809523809,0.0238095238095238,0.0238095238095238,0.0238095238095238,0.3095238095238095,0.0952380952380952,0.4,-0.5238095238095238,0.1495238095238095,1628381
Jordan Clarkson,UTA,3.8,0.6842105263157895,0.0789473684210526,0.0,0.0,0.1578947368421052,0.1052631578947368,0.313,-0.5,0.212878947368421,203903
Jordan Hawkins,NOP,3.4,0.2941176470588235,0.0294117647058823,0.0,0.0,0.0294117647058823,0.0294117647058823,0.75,-0.4411764705882353,0.125,1641722
Josh Giddey,CHI,3.2,0.46875,0.25,0.03125,0.03125,0.3125,0.0625,0.36,0.28125,0.2781875,1630581
Josh Hart,NYK,5.1,0.2941176470588235,0.0784313725490196,0.0392156862745098,0.0,0.2549019607843137,0.0588235294117647,0.385,0.1764705882352941,0.1904607843137254,1628404
Jrue Holiday,BOS,3.3,0.4242424242424242,0.0909090909090909,0.0303030303030303,0.0303030303030303,0.1515151515151515,0.0303030303030303,0.458,0.6363636363636365,0.2715575757575757,201950
Julius Randle,MIN,3.7,0.3783783783783783,0.081081081081081,0.027027027027027,0.0,0.1621621621621621,0.081081081081081,0.467,-0.2432432432432432,0.1662945945945945,203944
Justin Edwards,PHI,3.1,0.1935483870967742,0.032258064516129,0.0,0.032258064516129,0.032258064516129,0.0,0.4,-0.8064516129032258,0.0279032258064516,1642348
KJ Simpson,CHA,3.4,0.4117647058823529,0.1176470588235294,0.0588235294117647,0.0,0.2058823529411764,0.088235294117647,0.222,-0.2647058823529412,0.1619058823529411,1642354
Karl-Anthony Towns,NYK,5.0,0.36,0.06,0.04,0.04,0.24,0.04,0.543,0.1,0.2183,1626157
Kawhi Leonard,LAC,3.2,0.40625,0.03125,0.03125,0.03125,0.1875,0.0625,0.318,-0.34375,0.1521124999999999,202695
Keegan Murray,SAC,4.2,0.119047619047619,0.0238095238095238,0.0238095238095238,0.0238095238095238,0.1666666666666666,0.0,0.438,0.0476190476190476,0.1152285714285714,1631099
Keldon Johnson,SAS,3.4,0.4117647058823529,0.0294117647058823,0.1176470588235294,0.0,0.2058823529411765,0.0,0.545,-0.0294117647058823,0.217735294117647,1629640
Kelly Oubre Jr.,PHI,3.8,0.3421052631578947,0.0263157894736842,0.0,0.0,0.131578947368421,0.0263157894736842,0.407,-0.0263157894736842,0.1617526315789473,1626162
Kentavious Caldwell-Pope,MEM,3.0,0.1999999999999999,0.0,0.0333333333333333,0.0333333333333333,0.0666666666666666,0.0,0.294,0.0666666666666666,0.1110666666666666,203484
Keon Ellis,SAC,3.0,0.2333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.1333333333333333,0.0333333333333333,0.417,-0.1333333333333333,0.1250333333333333,1631165
Kevin Durant,PHX,3.5,0.8857142857142858,0.0857142857142857,0.0,0.0571428571428571,0.1714285714285714,0.0285714285714285,0.477,0.0285714285714285,0.3534142857142857,201142
Kevin Porter Jr.,MIL,3.2,0.5,0.03125,0.125,0.0,0.28125,0.0937499999999999,0.615,0.125,0.2739999999999999,1629645
Keyonte George,UTA,3.5,0.5428571428571428,0.0857142857142857,0.0,0.0,0.1142857142857143,0.0857142857142857,0.233,-0.6571428571428571,0.1418714285714285,1641718
Khris Middleton,WAS,3.6,0.4166666666666666,0.1666666666666666,0.0277777777777777,0.0,0.1666666666666666,0.1666666666666666,0.31,0.1111111111111111,0.2025277777777777,203114
Kyle Filipowski,UTA,4.1,0.5121951219512195,0.048780487804878,0.024390243902439,0.024390243902439,0.3170731707317074,0.073170731707317,0.65,-0.5853658536585367,0.2125609756097561,1642271
Kyrie Irving,DAL,3.4,0.7058823529411765,0.1176470588235294,0.0294117647058823,0.0294117647058823,0.1176470588235294,0.088235294117647,0.382,0.088235294117647,0.2882,202681
LaMelo Ball,CHA,3.9,0.6923076923076924,0.2051282051282051,0.0256410256410256,0.0,0.1794871794871795,0.0512820512820512,0.375,-0.1025641025641025,0.2817307692307693,1630163
Lauri Markkanen,UTA,3.9,0.5384615384615385,0.0256410256410256,0.0,0.0256410256410256,0.1025641025641025,0.0512820512820512,0.321,-0.6410256410256411,0.1468435897435897,1628374
LeBron James,LAL,3.0,0.8666666666666667,0.1999999999999999,0.0333333333333333,0.0333333333333333,0.2333333333333333,0.0666666666666666,0.518,0.5333333333333333,0.4218,2544
Lonzo Ball,CHI,3.6,0.25,0.1111111111111111,0.0277777777777777,0.0277777777777777,0.1388888888888889,0.0277777777777777,0.286,0.5277777777777778,0.1911,1628366
Luka Dončić,LAL,3.3,0.5757575757575758,0.1818181818181818,0.0303030303030303,0.0,0.1818181818181818,0.0606060606060606,0.395,0.303030303030303,0.2872272727272728,1629029
Malik Monk,SAC,3.6,0.6666666666666666,0.1111111111111111,0.0555555555555555,0.0277777777777777,0.1666666666666666,0.0555555555555555,0.5,0.2777777777777778,0.3173611111111111,1628370
Mark Williams,CHA,3.6,0.6111111111111112,0.0555555555555555,0.0277777777777777,0.0555555555555555,0.4722222222222222,0.0833333333333333,0.7,0.1111111111111111,0.3429166666666666,1631109
Mason Plumlee,PHX,3.0,0.2333333333333333,0.0666666666666666,0.0333333333333333,0.0333333333333333,0.1666666666666666,0.0999999999999999,0.714,-0.3666666666666667,0.1363999999999999,203486
Max Strus,CLE,3.2,0.53125,0.0625,0.0,0.03125,0.2499999999999999,0.03125,0.455,0.4374999999999999,0.29315625,1629622
Michael Porter Jr.,DEN,3.3,0.3636363636363636,0.0606060606060606,0.0303030303030303,0.0,0.1212121212121212,0.0303030303030303,0.593,0.6363636363636365,0.2570272727272727,1629008
Mikal Bridges,NYK,4.7,0.2978723404255319,0.0638297872340425,0.0212765957446808,0.0425531914893617,0.0851063829787234,0.0212765957446808,0.581,-0.0638297872340425,0.1639510638297872,1628969
Mike Conley,MIN,3.1,0.1935483870967742,0.1290322580645161,0.032258064516129,0.0,0.064516129032258,0.032258064516129,0.25,-0.2258064516129032,0.0838709677419354,201144
Miles Bridges,CHA,3.7,0.7297297297297297,0.081081081081081,0.0,0.027027027027027,0.2432432432432432,0.054054054054054,0.408,-0.1081081081081081,0.292827027027027,1628970
Myles Turner,IND,3.7,0.3783783783783783,0.027027027027027,0.027027027027027,0.054054054054054,0.2162162162162162,0.054054054054054,0.522,0.4594594594594594,0.250172972972973,1626167
Naji Marshall,DAL,3.1,0.4838709677419354,0.0967741935483871,0.032258064516129,0.0,0.1612903225806451,0.032258064516129,0.571,-0.064516129032258,0.2304870967741935,1630230
Neemias Queta,BOS,3.2,0.1874999999999999,0.0,0.0,0.0937499999999999,0.375,0.03125,0.429,0.03125,0.1639937499999999,1629674
Nic Claxton,BKN,4.0,0.25,0.05,0.0,0.025,0.25,0.05,0.52,-0.7,0.098875,1629651
Nikola Jokić,DEN,4.2,1.0,0.2619047619047619,0.0238095238095238,0.0,0.3571428571428571,0.119047619047619,0.562,0.4285714285714285,0.474652380952381,203999
Nikola Jović,MIA,4.0,0.275,0.075,0.025,0.025,0.175,0.025,0.429,-0.075,0.1541499999999999,1631107
Nikola Vučević,CHI,3.1,0.4838709677419354,0.064516129032258,0.032258064516129,0.032258064516129,0.2580645161290322,0.064516129032258,0.5,-0.1290322580645161,0.229032258064516,202696
Norman Powell,LAC,3.8,0.8421052631578948,0.0263157894736842,0.0,0.0,0.1052631578947368,0.0526315789473684,0.538,0.2631578947368421,0.3485368421052631,1626181
OG Anunoby,NYK,5.3,0.2830188679245283,0.0377358490566037,0.0566037735849056,0.0377358490566037,0.169811320754717,0.0188679245283018,0.378,0.0,0.1580830188679245,1628384
Ochai Agbaji,TOR,3.5,0.3142857142857143,0.0285714285714285,0.0,0.0,0.1428571428571428,0.0,0.688,-0.5714285714285714,0.1302285714285714,1630534
Onyeka Okongwu,ATL,3.6,0.4166666666666666,0.0555555555555555,0.0277777777777777,0.0555555555555555,0.361111111111111,0.0277777777777777,0.6,0.2777777777777778,0.277361111111111,1630168
P.J. Washington,DAL,3.1,0.6451612903225806,0.0967741935483871,0.032258064516129,0.0,0.2580645161290322,0.032258064516129,0.481,0.0967741935483871,0.3005193548387097,1629023
Paolo Banchero,ORL,3.9,0.8205128205128206,0.0769230769230769,0.0,0.0,0.2307692307692307,0.0769230769230769,0.468,-0.1025641025641025,0.3211589743589743,1631094
Pascal Siakam,IND,4.1,0.4390243902439025,0.0975609756097561,0.048780487804878,0.024390243902439,0.1463414634146341,0.048780487804878,0.488,0.3902439024390244,0.2542878048780488,1627783
Paul George,PHI,3.5,0.3714285714285714,0.0571428571428571,0.0285714285714285,0.0,0.1142857142857143,0.0571428571428571,0.35,-0.1142857142857143,0.1571428571428571,202331
Pelle Larsson,MIA,3.7,0.1351351351351351,0.0,0.0,0.0,0.1351351351351351,0.027027027027027,0.2,-0.1891891891891891,0.0605405405405405,1641796
Precious Achiuwa,NYK,3.7,0.3513513513513513,0.0,0.027027027027027,0.054054054054054,0.2702702702702702,0.0,0.545,0.5945945945945946,0.2659864864864865,1630173
Quenton Jackson,IND,5.2,0.4615384615384615,0.0384615384615384,0.0769230769230769,0.0,0.1153846153846153,0.0,0.333,0.5769230769230769,0.256376923076923,1631245
RJ Barrett,TOR,3.8,0.7894736842105263,0.1842105263157894,0.0,0.0,0.1842105263157894,0.0789473684210526,0.411,-0.4210526315789474,0.2779421052631577,1629628
Rudy Gobert,MIN,3.2,0.25,0.03125,0.0,0.03125,0.2812499999999999,0.0625,0.615,-0.34375,0.14665625,203497
Scottie Barnes,TOR,3.3,0.6363636363636365,0.0606060606060606,0.0,0.0,0.2424242424242424,0.0606060606060606,0.429,-0.3636363636363636,0.2368393939393939,1630567
Shaedon Sharpe,POR,3.6,0.6944444444444444,0.0555555555555555,0.0277777777777777,0.0,0.1666666666666666,0.0833333333333333,0.422,-0.0555555555555555,0.2734499999999999,1631101
Spencer Dinwiddie,DAL,3.1,0.5483870967741935,0.0967741935483871,0.032258064516129,0.032258064516129,0.1290322580645161,0.064516129032258,0.359,0.2258064516129032,0.2536419354838709,203915
Stephen Curry,GSW,3.2,1.125,0.0937499999999999,0.0,0.03125,0.15625,0.0937499999999999,0.417,0.15625,0.4252937499999999,201939
T.J. McConnell,IND,3.1,0.6129032258064515,0.1935483870967742,0.032258064516129,0.0,0.1612903225806451,0.0,0.556,0.3870967741935484,0.3241483870967742,204456
Terry Rozier,MIA,4.0,0.25,0.05,0.0,0.0,0.05,0.025,0.269,-0.2,0.09315,1626179
Tobias Harris,DET,3.5,0.3142857142857143,0.0571428571428571,0.0285714285714285,0.0285714285714285,0.1142857142857143,0.0285714285714285,0.485,-0.1142857142857143,0.1570714285714285,202699
Toumani Camara,POR,3.5,0.2285714285714286,0.0285714285714285,0.0285714285714285,0.0,0.2,0.0285714285714285,0.455,-0.1428571428571428,0.1333571428571428,1641739
Trae Young,ATL,4.0,1.0,0.25,0.025,0.0,0.075,0.1,0.364,0.225,0.392025,1629027
Trey Murphy III,NOP,3.8,0.2894736842105263,0.0789473684210526,0.0526315789473684,0.0,0.1578947368421052,0.0789473684210526,0.2,0.1842105263157894,0.1568421052631579,1630530
Tyler Herro,MIA,4.5,0.5555555555555556,0.1111111111111111,0.0444444444444444,0.0222222222222222,0.1333333333333333,0.0666666666666666,0.308,-0.2444444444444444,0.2057999999999999,1629639
Tyrese Haliburton,IND,3.8,0.8157894736842106,0.2105263157894737,0.0789473684210526,0.0263157894736842,0.1052631578947368,0.0526315789473684,0.471,0.5526315789473685,0.3892052631578946,1630169
Tyrese Maxey,PHI,4.3,1.1395348837209305,0.1162790697674418,0.0465116279069767,0.0,0.0697674418604651,0.0465116279069767,0.466,-0.0930232558139535,0.4024139534883721,1630178
Victor Wembanyama,SAS,4.0,0.625,0.075,0.05,0.05,0.275,0.075,0.37,-0.225,0.2545,1641705
Walker Kessler,UTA,3.9,0.5128205128205129,0.0512820512820512,0.0,0.0769230769230769,0.4358974358974359,0.0,0.727,-0.6923076923076924,0.2335974358974359,1631117
Yves Missi,NOP,3.0,0.3,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.1666666666666666,0.0333333333333333,0.571,-0.0999999999999999,0.1687666666666666,1642274
Zach LaVine,SAC,3.7,0.5135135135135135,0.054054054054054,0.0,0.0,0.1621621621621621,0.1081081081081081,0.347,-0.3783783783783783,0.1752405405405405,203897
